lesson_number,date,lesson_content,notes,subject,grade
38,22.10.2024,Тематична контрольна (діагностична) робота №3,,Математика,5
39,24.10.2024,Числові вирази. Буквені вирази та формули,Вправи та задачі на всі дії з натуральними числами — 14 год,Математика,5
40,25.10.2024,Числові вирази. Буквені вирази та формули,,Математика,5
41,04.11.2024,Рівняння,,Математика,5
42,05.11.2024,Рівняння,,Математика,5
43,05.11.2024,Самостійна робота №6. Текстові задачі на рух,,Математика,5
44,07.11.2024,Текстові задачі на рух,,Математика,5
45,08.11.2024,Текстові задачі на рух,,Математика,5
46,11.11.2024,Текстові задачі економічного змісту,,Математика,5
47,12.11.2024,Текстові задачі економічного змісту,,Математика,5
48,12.11.2024,Вправи на всі дії з натуральними числами,,Математика,5
49,14.11.2024,Вправи на всі дії з натуральними числами,,Математика,5
50,15.11.2024,Вправи на всі дії з натуральними числами. Самостійна робота №7,,Математика,5
51,18.11.2024,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
52,19.11.2024,Тематична контрольна (діагностична) робота №4,,Математика,5
53,19.11.2024,Відрізок та його довжина. Одиниці вимірювання довжини відрізка,"Відрізок, промінь, пряма, координатний промінь. Шкала. Кут. Види кутів. Трикутник, прямокутник, площі фігур — 21 год",Математика,5
54,21.11.2024,Відрізок та його довжина. Одиниці вимірювання довжини відрізка,,Математика,5
55,22.11.2024,"Промінь, пряма",,Математика,5
56,25.11.2024,"Промінь, пряма. Координатний промінь",,Математика,5
57,26.11.2024,Координатний промінь. Шкала. Самостійна робота №8,,Математика,5
58,26.11.2024,Координатний промінь. Шкала,,Математика,5
59,28.11.2024,Лінійна та стовпчасті діаграми,,Математика,5
60,29.11.2024,Кут. Види кутів,,Математика,5
61,02.12.2024,Кут. Види кутів,,Математика,5
62,03.12.2024,Величина кута. Вимірювання кутів,,Математика,5
63,03.12.2024,Величина кута. Побудова кутів,,Математика,5
64,05.12.2024,Трикутник та його периметр. Види трикутників за кутами та сторонами,,Математика,5
65,06.12.2024,Трикутник та його периметр. Види трикутників за кутами та сторонами. Самостійна робота №9,,Математика,5
66,09.12.2024,Прямокутник. Квадрат. Периметр квадрата і прямокутника,,Математика,5
67,10.12.2024,Прямокутник. Квадрат. Рівність фігур,,Математика,5
68,10.12.2024,Рівність фігур,,Математика,5
69,12.12.2024,Площа прямокутника і квадрата. Одиниці вимірювання площі,,Математика,5
70,13.12.2024,Площа прямокутника і квадрата. Одиниці вимірювання площі,,Математика,5
71,16.12.2024,Площа прямокутника і квадрата. Самостійна робота №10,,Математика,5
72,17.12.2024,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
73,17.12.2024,Тематична контрольна (діагностична) робота №5,,Математика,5
74,19.12.2024,Найпростіші комбінаторні задачі,,Математика,5
75,20.12.2024,Найпростіші комбінаторні задачі,,Математика,5
76,23.12.2024,Розв’язування текстових задач алгебраїчним методом,,Математика,5
77,24.12.2024,Логічні задачі,,Математика,5
78,24.12.2024,Узагальнення з систематизація знань за перший семестр,,Математика,5
79,26.12.2024,Узагальнення з систематизація знань за перший семестр,,Математика,5
80,27.12.2024,Узагальнення з систематизація знань за перший семестр,,Математика,5
81,13.01.2025,Дільники та кратні натурального числа,II семестр — 95 годин Тема 3. Подільність натуральних чисел (13 год) Дільники та кратні натурального числа — 13 год,Математика,5
82,14.01.2025,Дільники та кратні натурального числа,,Математика,5
83,14.01.2025,"Ознаки подільності на 2, 5, 10",,Математика,5
84,16.01.2025,Ознаки подільності на 9 і 3,,Математика,5
85,17.01.2025,Прості та складені числа,,Математика,5
86,20.01.2025,Прості та складені числа. Самостійна робота №11,,Математика,5
87,21.01.2025,Розкладення чисел на прості множники,,Математика,5
88,21.01.2025,Найбільший спільний дільник. Взаємно прості числа,,Математика,5
89,23.01.2025,Найбільший спільний дільник. Взаємно прості числа,,Математика,5
90,24.01.2025,Найменше спільне кратне,,Математика,5
91,27.01.2025,Найменше спільне кратне. Самостійна робота №12,,Математика,5
92,28.01.2025,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
93,28.01.2025,Тематична контрольна (діагностична) робота №6,,Математика,5
94,30.01.2025,Звичайні дроби,Тема 4. Дробові числа і дії з ними (64 год) Додавання дробів з однаковими знаменниками — 19 годин,Математика,5
95,31.01.2025,Знаходження дробу від числа і числа за його дробом,,Математика,5
96,03.02.2025,Знаходження дробу від числа і числа за його дробом,,Математика,5
97,04.02.2025,Дріб як частка двох натуральних чисел,,Математика,5
98,04.02.2025,Порівняння звичайних дробів з однаковими знаменниками,,Математика,5
99,06.02.2025,Порівняння звичайних дробів з однаковими знаменниками,,Математика,5
100,07.02.2025,Правильні і неправильні дроби,,Математика,5
101,10.02.2025,Правильні і неправильні дроби. Самостійна робота №13,,Математика,5
102,11.02.2025,Мішані числа,,Математика,5
103,11.02.2025,Мішані числа,,Математика,5
104,13.02.2025,Додавання і віднімання дробів з однаковими знаменниками,,Математика,5
105,14.02.2025,Додавання і віднімання дробів з однаковими знаменниками,,Математика,5
106,17.02.2025,Додавання і віднімання дробів з однаковими знаменниками,,Математика,5
107,18.02.2025,Додавання і віднімання мішаних чисел,,Математика,5
108,18.02.2025,Додавання і віднімання мішаних чисел,,Математика,5
109,20.02.2025,Додавання і віднімання мішаних чисел,,Математика,5
110,21.02.2025,Додавання і віднімання мішаних чисел. Самостійна робота №14,,Математика,5
111,24.02.2025,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
112,25.02.2025,Тематична контрольна (діагностична) робота №7,,Математика,5
113,25.02.2025,Десятковий дріб. Запис десяткових дробів,Новий запис числа. Десятковий дріб — 13 годин,Математика,5
114,27.02.2025,Десятковий дріб. Запис десяткових дробів,,Математика,5
115,28.02.2025,Порівняння десяткових дробів,,Математика,5
116,03.03.2025,Порівняння десяткових дробів,,Математика,5
117,04.03.2025,Порівняння десяткових дробів,,Математика,5
118,04.03.2025,Самостійна робота №15. Округлення десяткових дробів,,Математика,5
119,06.03.2025,Округлення десяткових дробів,,Математика,5
120,07.03.2025,Округлення десяткових дробів,,Математика,5
121,10.03.2025,Додавання і віднімання десяткових дробів,,Математика,5
122,11.03.2025,Додавання і віднімання десяткових дробів. Властивості додавання,,Математика,5
123,11.03.2025,Додавання і віднімання десяткових дробів. Самостійна робота №16,,Математика,5
124,13.03.2025,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
125,14.03.2025,Тематична контрольна (діагностична) робота №8,,Математика,5
126,17.03.2025,Множення десяткових дробів,Множення і ділення десяткових дробів — 20 год,Математика,5
127,18.03.2025,Множення десяткових дробів,,Математика,5
128,18.03.2025,Множення десяткових дробів. Властивості множення,,Математика,5
129,20.03.2025,Множення десяткових дробів. Властивості множення,,Математика,5
130,21.03.2025,Множення десяткових дробів. Властивості множення,,Математика,5
131,31.03.2025,Окремі випадки множення десяткових дробів,,Математика,5
132,01.04.2025,Окремі випадки множення десяткових дробів. Самостійна робота №17,,Математика,5
133,01.04.2025,Ділення десяткового дробу на натуральне число,,Математика,5
134,03.04.2025,Ділення десяткового дробу на натуральне число,,Математика,5
135,04.04.2025,"Ділення десяткових дробів на 10, 100, 1000, ...",,Математика,5
136,07.04.2025,Ділення десяткових дробу на натуральне число,,Математика,5
137,08.04.2025,Ділення десяткових дробу на натуральне число,,Математика,5
138,08.04.2025,Ділення на десяткових дріб,,Математика,5
139,10.04.2025,Ділення на десяткових дріб,,Математика,5
140,11.04.2025,Ділення на десяткових дріб,,Математика,5
141,14.04.2025,Ділення на десяткових дріб,,Математика,5
142,15.04.2025,Ділення на десяткових дріб,,Математика,5
143,15.04.2025,Ділення на десяткових дріб. Самостійна робота №18,,Математика,5
144,17.04.2025,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
145,18.04.2025,Тематична контрольна (діагностична) робота №9,,Математика,5
146,21.04.2025,Середнє арифметичне,Середнє арифметичне — 12 годин,Математика,5
147,22.04.2025,Середнє арифметичне,,Математика,5
148,22.04.2025,Середнє значення величини,,Математика,5
149,24.04.2025,Середнє значення величини,,Математика,5
150,25.04.2025,Вправи на всі дії з натуральними числами і десятковими дробами,,Математика,5
151,28.04.2025,Вправи на всі дії з натуральними числами і десятковими дробами,,Математика,5
152,29.04.2025,Вправи на всі дії з натуральними числами і десятковими дробами,,Математика,5
153,29.04.2025,Вправи на всі дії з натуральними числами і десятковими дробами,,Математика,5
154,01.05.2025,Вправи на всі дії з натуральними числами і десятковими дробами,,Математика,5
155,02.05.2025,Вправи на всі дії з натуральними числами і десятковими дробами . Самостійна робота №19,,Математика,5
156,05.05.2025,Систематизація знань та підготовка до тематичного оцінювання,,Математика,5
157,06.05.2025,Тематична контрольна (діагностична) робота №10,,Математика,5
158,06.05.2025,Натуральні числа. Порівняння натуральних чисел. Округлення натуральних чисел. Арифметичні дії з натуральними числами та їх властивості,Тема №5. Повторення і систематизація навчального матеріалу (18 год)                                        ,Математика,5
159,08.05.2025,Арифметичні дії з натуральними числами та їх властивості. Квадрат і куб числа. Порядок виконання арифметичних дій у виразах. Ділення з остачею,,Математика,5
160,09.05.2025,Числові та буквені вирази. Формули. Рівняння. Текстові задачі,,Математика,5
161,12.05.2025,"Текстові задачі. Відрізок, пряма, промінь. Координатний промінь",,Математика,5
162,13.05.2025,"Кут, трикутник, прямокутник, квадрат. Площа та периметр квадрата і прямокутника",,Математика,5
163,13.05.2025,Подільність натуральних чисел,,Математика,5
164,15.05.2025,Подільність натуральних чисел,,Математика,5
165,16.05.2025,Звичайні дроби,,Математика,5
166,19.05.2025,Звичайні дроби,,Математика,5
167,20.05.2025,Десятковий дріб. Порівняння десяткових дробів. Округлення десяткових дробів,,Математика,5
168,20.05.2025,Арифметичні дії з десятковими дробами,,Математика,5
169,22.05.2025,Арифметичні дії з десятковими дробами,,Математика,5
170,23.05.2025,Арифметичні дії з десятковими дробами. Середнє арифметичне,,Математика,5
171,26.05.2025,Підсумкова контрольна робота,,Математика,5
172,27.05.2025,Аналіз результатів підсумкової контрольної роботи,,Математика,5
173,27.05.2025,"Розкладання натуральних чисел, більших за тисячу, на прості множники. Логічні задачі",,Математика,5
174,29.05.2025,Знаходження найбільшого спільного дільника (НСД) і найменшого спільного кратного (НСК) двох (кількох) чисел в межах тисячі,,Математика,5
175,30.05.2025,Підсумковий урок,,Математика,5
