lesson_number,date,lesson_content,notes,subject,grade
55,08.04.2025,Аналіз контрольної роботи Квадратний тричлен. Розкладання квадратного тричлена на лінійні множники.,"Тема 3.2 Розв’язування рівнянь, які зводяться до квадратних( 10 год. )",,
56,10.04.2025,"Розв’язування рівнянь, які зводяться до квадратних.",,,
57,15.04.2025,"Розв’язування рівнянь, які зводяться до квадратних .",,,
58,17.04.2025,Раціональні рівняння як математична модель текстових і прикладних задач,,,
59,22.04.2025,Раціональні рівняння як математична модель текстових і прикладних задач,,,
60,24.04.2025,Розв'язування вправ та задач .,,,
61,29.04.2025,Розв'язування вправ та задач. Самостійна робота,,,
62,01.05.2025,Аналіз самостійної роботи. Розв'язування вправ. Підготовка до контрольної роботи,,,
63,06.05.2025,"Контрольна робота № 5 з теми «Розв’язування рівнянь, які зводяться до квадратних»",,,
64,08.05.2025,"Аналіз контрольної роботи. Розв’язування вправ, що містять типові помилки",,,
65,13.05.2025,Додавання і віднімання раціональних дробів Множення і ділення раціональних дробів,Тема 4. Повторення і систематизація навчального матеріалу (6 год.),,
66,15.05.2025,Тотожні перетворення раціональних виразів,,,
67,20.05.2025,"Квадратні корені. Квадратні рівняння. Розв’язування рівнянь, які зводяться до квадратних",,,
68,22.05.2025,Розв’язування прикладних задач,,,
69,27.05.2025,Підсумкова контрольна робота №6 з теми «Повторення і систематизація навчального матеріалу»,,,
70,29.05.2025,Аналіз підсумкової контрольної роботи. Узагальнення вивченого матеріалу за рік.,,,
