lesson_number,date,lesson_content,notes,subject,grade
56,10.04.2025,Лінійне рівняння з двома змінними,Тема 4. СИСТЕМИ ЛІНІЙНИХ РІВНЯНЬ З ДВОМА ЗМІННИМИ ( 12 год ),Алгебра,7
57,15.04.2025,Графік лінійного рівняння з двома змінними,,Алгебра,7
58,17.04.2025,Графік лінійного рівняння з двома змінними .Системи двох лінійних рівнянь з двома змінними та їх розв’язок. Графічний спосіб розв’язування систем,,Алгебра,7
59,22.04.2025,Системи двох лінійних рівнянь з двома змінними та їх розв’язок. Графічний спосіб розв’язування систем,,Алгебра,7
60,24.04.2025,Самостійна робота № 10. Розв’язування систем лінійних рівнянь з двома змінними способом підстановки.,,Алгебра,7
61,29.04.2025,Розв’язування систем лінійних рівнянь з двома змінними способом підстановки.,,Алгебра,7
62,01.05.2025,Розв’язування систем лінійних рівнянь з двома змінними способом додавання,,Алгебра,7
63,06.05.2025,Розв’язування систем лінійних рівнянь з двома змінними способом додавання,,Алгебра,7
64,08.05.2025,Розв’язування задач за допомогою систем лінійних рівнянь з двома змінними,,Алгебра,7
65,13.05.2025,Розв’язування задач за допомогою систем лінійних рівнянь з двома змінними,,Алгебра,7
66,15.05.2025,Самостійна робота № 11 .Систематизація знань. Підготовка до контрольної роботи,,Алгебра,7
67,20.05.2025,Тематична контрольна (діагностична) робота № 6,,Алгебра,7
68,22.05.2025,Систематизація знань. Підготовка до підсумкової контрольної роботи,Тема 5. ПОВТОРЕННЯ І СИСТЕМАТИЗАЦІЯ НАВЧАЛЬНОГО МАТЕРІАЛУ (3 год ),Алгебра,7
69,27.05.2025,Підсумкова контрольна робота за 7 клас,,Алгебра,7
70,29.05.2025,Підсумковий урок,,Алгебра,7
